sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
0,0x00001412,2.508789,0,1,0,207,1.035
1,0x003fff36,-0.098633,0,0,1,207,1.035
2,0x00001c48,3.535156,0,1,0,207,1.035
3,0x00001c90,3.570312,0,1,0,208,1.040
4,0x003ff84e,-0.961914,0,0,1,208,1.040
5,0x000000f8,0.121094,0,1,0,208,1.040
6,0x00000f41,1.906738,0,1,0,208,1.040
7,0x003ffde2,-0.264648,0,0,1,208,1.040
8,0x00000247,0.284668,0,1,0,209,1.045
9,0x00000fc7,1.972168,1,1,1,209,1.045
10,0x003ff22f,-1.727051,0,0,1,208,1.040
11,0x003ffa2c,-0.728516,0,0,1,208,1.040
12,0x003ffec0,-0.156250,0,0,1,208,1.040
13,0x00000472,0.555664,0,1,0,209,1.045
14,0x003ff8fe,-0.875977,0,0,1,209,1.045
15,0x0000084a,1.036133,0,1,0,208,1.040
16,0x0000026a,0.301758,0,1,0,208,1.040
17,0x00002b5f,5.421387,1,1,1,208,1.040
18,0x003ffe2b,-0.229004,0,0,1,209,1.045
19,0x000003dd,0.482910,0,1,0,209,1.045
20,0x00001442,2.532227,0,1,0,208,1.040
21,0x00000693,0.821777,0,1,0,208,1.040
22,0x003ff44a,-1.463867,0,0,1,208,1.040
23,0x00000095,0.072754,0,1,0,209,1.045
24,0x00000136,0.151367,0,1,0,209,1.045
25,0x00000e97,1.823730,0,1,0,208,1.040
26,0x003ffa96,-0.676758,0,0,1,208,1.040
27,0x003ffa2c,-0.728516,0,0,1,208,1.040
28,0x003ff7a1,-1.046387,0,0,1,209,1.045
29,0x003ff81b,-0.986816,0,0,1,209,1.045
30,0x003ffca1,-0.421387,0,0,1,208,1.040
31,0x003ffe77,-0.191895,0,0,1,208,1.040
32,0x00001318,2.386719,0,1,0,208,1.040
33,0x003fff8a,-0.057617,0,0,1,209,1.045
34,0x000001a1,0.203613,0,1,0,209,1.045
35,0x003fef80,-2.062500,0,0,1,208,1.040
36,0x000004e8,0.613281,0,1,0,208,1.040
37,0x000015f9,2.746582,0,1,0,208,1.040
38,0x00001482,2.563477,1,1,1,209,1.045
39,0x003ff8f5,-0.880371,1,0,0,209,1.045
40,0x00005099,10.074707,1,1,1,208,1.040
41,0x0000069e,0.827148,1,1,1,208,1.040
42,0x000015f2,2.743164,1,1,1,208,1.040
43,0x003ff6b2,-1.163086,0,0,1,209,1.045
44,0x000017c5,2.971191,0,1,0,209,1.045
45,0x00001d2c,3.646484,1,1,1,208,1.040
46,0x000011f7,2.245605,0,1,0,208,1.040
47,0x003ffac3,-0.654785,0,0,1,208,1.040
48,0x00000ef4,1.869141,1,1,1,209,1.045
49,0x003ffc25,-0.481934,0,0,1,209,1.045
50,0x00000b04,1.376953,1,1,1,208,1.040
51,0x00002019,4.012207,1,1,1,208,1.040
52,0x00001aff,3.374512,0,1,0,208,1.040
53,0x003fff53,-0.084473,0,0,1,209,1.045
54,0x003ffd33,-0.350098,0,0,1,209,1.045
