sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel
0,bipolar_sweep,0,0,10,50.000,256,-256,0
1,bipolar_sweep,1,1,10,50.000,256,-256,0
2,bipolar_sweep,2,2,10,50.000,256,-256,0
3,bipolar_sweep,3,3,10,50.000,256,-256,0
4,bipolar_sweep,4,4,10,50.000,256,-256,0
5,bipolar_sweep,5,5,10,50.000,256,-256,0
6,bipolar_sweep,6,6,10,50.000,256,-256,0
7,bipolar_sweep,7,7,10,50.000,256,-256,0
8,bipolar_sweep,8,8,10,50.000,256,-256,0
9,bipolar_sweep,9,9,10,50.000,256,-256,0
10,bipolar_sweep,10,10,10,50.000,256,-256,0
11,bipolar_sweep,11,11,10,50.000,256,-256,0
12,bipolar_sweep,12,12,10,50.000,256,-256,0
13,bipolar_sweep,13,13,10,50.000,256,-256,0
14,bipolar_sweep,14,14,10,50.000,256,-256,0
15,bipolar_sweep,15,15,10,50.000,256,-256,0
16,bipolar_sweep,16,16,10,50.000,256,-256,0
17,bipolar_sweep,17,17,10,50.000,256,-256,0
18,bipolar_sweep,18,18,10,50.000,256,-256,0
19,bipolar_sweep,19,19,10,50.000,256,-256,0
20,bipolar_sweep,20,20,10,50.000,256,-256,0
21,bipolar_sweep,21,21,10,50.000,256,-256,0
22,bipolar_sweep,22,22,10,50.000,256,-256,0
23,bipolar_sweep,23,23,10,50.000,256,-256,0
24,bipolar_sweep,24,24,10,50.000,256,-256,0
25,bipolar_sweep,25,25,10,50.000,256,-256,0
26,bipolar_sweep,26,26,10,50.000,256,-256,0
27,bipolar_sweep,27,27,10,50.000,256,-256,0
28,bipolar_sweep,28,28,10,50.000,256,-256,0
29,bipolar_sweep,29,29,10,50.000,256,-256,0
30,bipolar_sweep,30,30,10,50.000,256,-256,0
31,bipolar_sweep,31,31,10,50.000,256,-256,0
32,bipolar_sweep,32,32,10,50.000,256,-256,0
33,bipolar_sweep,33,33,10,50.000,256,-256,0
34,bipolar_sweep,34,34,10,50.000,256,-256,0
35,bipolar_sweep,35,35,10,50.000,256,-256,0
36,bipolar_sweep,36,36,10,50.000,256,-256,0
37,bipolar_sweep,37,37,10,50.000,256,-256,0
38,bipolar_sweep,38,38,10,50.000,256,-256,0
39,bipolar_sweep,39,39,10,50.000,256,-256,0
40,bipolar_sweep,40,40,10,50.000,256,-256,0
41,bipolar_sweep,41,41,10,50.000,256,-256,0
42,bipolar_sweep,42,42,10,50.000,256,-256,0
43,bipolar_sweep,43,43,10,50.000,256,-256,0
44,bipolar_sweep,44,44,10,50.000,256,-256,0
45,bipolar_sweep,45,45,10,50.000,256,-256,0
46,bipolar_sweep,46,46,10,50.000,256,-256,0
47,bipolar_sweep,47,47,10,50.000,256,-256,0
48,bipolar_sweep,48,48,10,50.000,256,-256,0
49,bipolar_sweep,49,49,10,50.000,256,-256,0
50,bipolar_sweep,50,50,10,50.000,256,-256,0
51,bipolar_sweep,51,51,10,50.000,256,-256,0
52,bipolar_sweep,52,52,10,50.000,256,-256,0
53,bipolar_sweep,53,53,10,50.000,256,-256,0
54,bipolar_sweep,54,54,10,50.000,256,-256,0
55,bipolar_sweep,55,55,10,50.000,256,-256,0
56,bipolar_sweep,56,56,10,50.000,256,-256,0
57,bipolar_sweep,57,57,10,50.000,256,-256,0
58,bipolar_sweep,58,58,10,50.000,256,-256,0
59,bipolar_sweep,59,59,10,50.000,256,-256,0
60,bipolar_sweep,60,60,10,50.000,256,-256,0
61,bipolar_sweep,61,61,10,50.000,256,-256,0
62,bipolar_sweep,62,62,10,50.000,256,-256,0
63,bipolar_sweep,63,63,10,50.000,256,-256,0
64,bipolar_sweep,64,64,10,50.000,256,-256,0
65,bipolar_sweep,65,65,10,50.000,256,-256,0
66,bipolar_sweep,66,66,10,50.000,256,-256,0
