sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
0,0x003feb97,-2.551270,0,0,1,207,1.035
1,0x003febb3,-2.537598,0,0,1,202,1.010
2,0x003febbc,-2.533203,0,0,1,202,1.010
3,0x003fec49,-2.464355,0,0,1,203,1.015
4,0x003fec33,-2.475098,0,0,1,203,1.015
5,0x003fecc2,-2.405273,0,0,1,204,1.020
6,0x003fec49,-2.464355,0,0,1,203,1.015
7,0x003fec49,-2.464355,0,0,1,203,1.015
8,0x003fee50,-2.210938,0,0,1,204,1.020
9,0x003fede5,-2.263184,0,0,1,204,1.020
10,0x003fed2d,-2.353027,0,0,1,204,1.020
11,0x003fed12,-2.366211,0,0,1,203,1.015
12,0x003fec74,-2.443359,0,0,1,203,1.015
13,0x003fec5a,-2.456055,0,0,1,204,1.020
14,0x003fee12,-2.241211,0,0,1,204,1.020
15,0x003fee70,-2.195312,0,0,1,204,1.020
16,0x003feedc,-2.142578,0,0,1,203,1.015
17,0x003fee88,-2.183594,0,0,1,203,1.015
18,0x003fedb1,-2.288574,0,0,1,204,1.020
19,0x003fedab,-2.291504,0,0,1,204,1.020
20,0x003fef8c,-2.056641,0,0,1,204,1.020
21,0x003fef09,-2.120605,0,0,1,203,1.015
22,0x003feeb3,-2.162598,0,0,1,203,1.015
23,0x003fee72,-2.194336,0,0,1,204,1.020
24,0x003fed42,-2.342773,0,0,1,204,1.020
25,0x003fed52,-2.334961,0,0,1,204,1.020
26,0x003feebe,-2.157227,0,0,1,203,1.015
27,0x003fee7a,-2.190430,0,0,1,203,1.015
28,0x003fedce,-2.274414,0,0,1,204,1.020
29,0x003fed3e,-2.344727,0,0,1,204,1.020
30,0x003fec71,-2.444824,0,0,1,204,1.020
31,0x003fec2d,-2.478027,0,0,1,203,1.015
32,0x003fed72,-2.319336,0,0,1,203,1.015
33,0x003fee2b,-2.229004,0,0,1,204,1.020
34,0x003fee07,-2.246582,0,0,1,204,1.020
35,0x003fede2,-2.264648,0,0,1,204,1.020
36,0x003fecb1,-2.413574,0,0,1,203,1.015
37,0x003fecdd,-2.392090,0,0,1,203,1.015
38,0x003fee3c,-2.220703,0,0,1,204,1.020
39,0x003feeb9,-2.159668,0,0,1,204,1.020
40,0x003fee95,-2.177246,0,0,1,204,1.020
41,0x003fef2c,-2.103516,0,0,1,203,1.015
42,0x003fef37,-2.098145,0,0,1,203,1.015
43,0x003fef0d,-2.118652,0,0,1,204,1.020
44,0x003ff0e8,-1.886719,0,0,1,204,1.020
45,0x003ff0d1,-1.897949,0,0,1,204,1.020
46,0x003ff1c1,-1.780762,0,0,1,203,1.015
47,0x003ff23a,-1.721680,0,0,1,203,1.015
48,0x003ff4cb,-1.400879,0,0,1,204,1.020
49,0x003ff5a7,-1.293457,0,0,1,204,1.020
50,0x003ff666,-1.200195,0,0,1,204,1.020
51,0x003ff8f7,-0.879395,0,0,1,203,1.015
52,0x00000693,0.821777,0,1,0,203,1.015
53,0x00000d3c,1.654297,0,1,0,204,1.020
54,0x0000103e,2.030273,0,1,0,204,1.020
55,0x000013c4,2.470703,0,1,0,204,1.020
