sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
0,bipolar_sweep,0,0,10,50.000,256,-256,0,0x003feb97,-2.551270,0,0,1,207,1.035
1,bipolar_sweep,1,1,10,50.000,256,-256,0,0x003febb3,-2.537598,0,0,1,202,1.010
2,bipolar_sweep,2,2,10,50.000,256,-256,0,0x003febbc,-2.533203,0,0,1,202,1.010
3,bipolar_sweep,3,3,10,50.000,256,-256,0,0x003fec49,-2.464355,0,0,1,203,1.015
4,bipolar_sweep,4,4,10,50.000,256,-256,0,0x003fec33,-2.475098,0,0,1,203,1.015
5,bipolar_sweep,5,5,10,50.000,256,-256,0,0x003fecc2,-2.405273,0,0,1,204,1.020
6,bipolar_sweep,6,6,10,50.000,256,-256,0,0x003fec49,-2.464355,0,0,1,203,1.015
7,bipolar_sweep,7,7,10,50.000,256,-256,0,0x003fec49,-2.464355,0,0,1,203,1.015
8,bipolar_sweep,8,8,10,50.000,256,-256,0,0x003fee50,-2.210938,0,0,1,204,1.020
9,bipolar_sweep,9,9,10,50.000,256,-256,0,0x003fede5,-2.263184,0,0,1,204,1.020
10,bipolar_sweep,10,10,10,50.000,256,-256,0,0x003fed2d,-2.353027,0,0,1,204,1.020
11,bipolar_sweep,11,11,10,50.000,256,-256,0,0x003fed12,-2.366211,0,0,1,203,1.015
12,bipolar_sweep,12,12,10,50.000,256,-256,0,0x003fec74,-2.443359,0,0,1,203,1.015
13,bipolar_sweep,13,13,10,50.000,256,-256,0,0x003fec5a,-2.456055,0,0,1,204,1.020
14,bipolar_sweep,14,14,10,50.000,256,-256,0,0x003fee12,-2.241211,0,0,1,204,1.020
15,bipolar_sweep,15,15,10,50.000,256,-256,0,0x003fee70,-2.195312,0,0,1,204,1.020
16,bipolar_sweep,16,16,10,50.000,256,-256,0,0x003feedc,-2.142578,0,0,1,203,1.015
17,bipolar_sweep,17,17,10,50.000,256,-256,0,0x003fee88,-2.183594,0,0,1,203,1.015
18,bipolar_sweep,18,18,10,50.000,256,-256,0,0x003fedb1,-2.288574,0,0,1,204,1.020
19,bipolar_sweep,19,19,10,50.000,256,-256,0,0x003fedab,-2.291504,0,0,1,204,1.020
20,bipolar_sweep,20,20,10,50.000,256,-256,0,0x003fef8c,-2.056641,0,0,1,204,1.020
21,bipolar_sweep,21,21,10,50.000,256,-256,0,0x003fef09,-2.120605,0,0,1,203,1.015
22,bipolar_sweep,22,22,10,50.000,256,-256,0,0x003feeb3,-2.162598,0,0,1,203,1.015
23,bipolar_sweep,23,23,10,50.000,256,-256,0,0x003fee72,-2.194336,0,0,1,204,1.020
24,bipolar_sweep,24,24,10,50.000,256,-256,0,0x003fed42,-2.342773,0,0,1,204,1.020
25,bipolar_sweep,25,25,10,50.000,256,-256,0,0x003fed52,-2.334961,0,0,1,204,1.020
26,bipolar_sweep,26,26,10,50.000,256,-256,0,0x003feebe,-2.157227,0,0,1,203,1.015
27,bipolar_sweep,27,27,10,50.000,256,-256,0,0x003fee7a,-2.190430,0,0,1,203,1.015
28,bipolar_sweep,28,28,10,50.000,256,-256,0,0x003fedce,-2.274414,0,0,1,204,1.020
29,bipolar_sweep,29,29,10,50.000,256,-256,0,0x003fed3e,-2.344727,0,0,1,204,1.020
30,bipolar_sweep,30,30,10,50.000,256,-256,0,0x003fec71,-2.444824,0,0,1,204,1.020
31,bipolar_sweep,31,31,10,50.000,256,-256,0,0x003fec2d,-2.478027,0,0,1,203,1.015
32,bipolar_sweep,32,32,10,50.000,256,-256,0,0x003fed72,-2.319336,0,0,1,203,1.015
33,bipolar_sweep,33,33,10,50.000,256,-256,0,0x003fee2b,-2.229004,0,0,1,204,1.020
34,bipolar_sweep,34,34,10,50.000,256,-256,0,0x003fee07,-2.246582,0,0,1,204,1.020
35,bipolar_sweep,35,35,10,50.000,256,-256,0,0x003fede2,-2.264648,0,0,1,204,1.020
36,bipolar_sweep,36,36,10,50.000,256,-256,0,0x003fecb1,-2.413574,0,0,1,203,1.015
37,bipolar_sweep,37,37,10,50.000,256,-256,0,0x003fecdd,-2.392090,0,0,1,203,1.015
38,bipolar_sweep,38,38,10,50.000,256,-256,0,0x003fee3c,-2.220703,0,0,1,204,1.020
39,bipolar_sweep,39,39,10,50.000,256,-256,0,0x003feeb9,-2.159668,0,0,1,204,1.020
40,bipolar_sweep,40,40,10,50.000,256,-256,0,0x003fee95,-2.177246,0,0,1,204,1.020
41,bipolar_sweep,41,41,10,50.000,256,-256,0,0x003fef2c,-2.103516,0,0,1,203,1.015
42,bipolar_sweep,42,42,10,50.000,256,-256,0,0x003fef37,-2.098145,0,0,1,203,1.015
43,bipolar_sweep,43,43,10,50.000,256,-256,0,0x003fef0d,-2.118652,0,0,1,204,1.020
44,bipolar_sweep,44,44,10,50.000,256,-256,0,0x003ff0e8,-1.886719,0,0,1,204,1.020
45,bipolar_sweep,45,45,10,50.000,256,-256,0,0x003ff0d1,-1.897949,0,0,1,204,1.020
46,bipolar_sweep,46,46,10,50.000,256,-256,0,0x003ff1c1,-1.780762,0,0,1,203,1.015
47,bipolar_sweep,47,47,10,50.000,256,-256,0,0x003ff23a,-1.721680,0,0,1,203,1.015
48,bipolar_sweep,48,48,10,50.000,256,-256,0,0x003ff4cb,-1.400879,0,0,1,204,1.020
49,bipolar_sweep,49,49,10,50.000,256,-256,0,0x003ff5a7,-1.293457,0,0,1,204,1.020
50,bipolar_sweep,50,50,10,50.000,256,-256,0,0x003ff666,-1.200195,0,0,1,204,1.020
51,bipolar_sweep,51,51,10,50.000,256,-256,0,0x003ff8f7,-0.879395,0,0,1,203,1.015
52,bipolar_sweep,52,52,10,50.000,256,-256,0,0x00000693,0.821777,0,1,0,203,1.015
53,bipolar_sweep,53,53,10,50.000,256,-256,0,0x00000d3c,1.654297,0,1,0,204,1.020
54,bipolar_sweep,54,54,10,50.000,256,-256,0,0x0000103e,2.030273,0,1,0,204,1.020
55,bipolar_sweep,55,55,10,50.000,256,-256,0,0x000013c4,2.470703,0,1,0,204,1.020
56,bipolar_sweep,56,56,10,50.000,256,-256,0,0x0000109c,2.076172,0,1,0,203,1.015
57,bipolar_sweep,57,57,10,50.000,256,-256,0,0x0000185a,3.043945,0,1,0,203,1.015
58,bipolar_sweep,58,58,10,50.000,256,-256,0,0x000033ce,6.475586,0,1,0,204,1.020
59,bipolar_sweep,59,59,10,50.000,256,-256,0,0x000042ba,8.340820,0,1,0,204,1.020
60,bipolar_sweep,60,60,10,50.000,256,-256,0,0x00003f3e,7.905273,0,1,0,204,1.020
61,bipolar_sweep,61,61,10,50.000,256,-256,0,0x0000449c,8.576172,0,1,0,203,1.015
62,bipolar_sweep,62,62,10,50.000,256,-256,0,0x0000426e,8.303711,0,1,0,203,1.015
63,bipolar_sweep,63,63,10,50.000,256,-256,0,0x00004030,8.023438,0,1,0,204,1.020
64,bipolar_sweep,64,64,10,50.000,256,-256,0,0x000055c8,10.722656,0,1,0,204,1.020
65,bipolar_sweep,65,65,10,50.000,256,-256,0,0x00005f50,11.914062,0,1,0,204,1.020
66,bipolar_sweep,66,66,10,50.000,256,-256,0,0x00004acc,9.349609,0,1,0,203,1.015
67,bipolar_sweep,67,67,10,50.000,256,-256,0,0x0000486a,9.051758,0,1,0,203,1.015
68,bipolar_sweep,68,68,10,50.000,256,-256,0,0x000039d4,7.228516,0,1,0,204,1.020
69,bipolar_sweep,69,69,10,50.000,256,-256,0,0x00003c60,7.546875,0,1,0,204,1.020
70,bipolar_sweep,70,70,10,50.000,256,-256,0,0x000056fa,10.872070,0,1,0,204,1.020
71,bipolar_sweep,71,71,10,50.000,256,-256,0,0x00006302,12.375977,0,1,0,203,1.015
72,bipolar_sweep,72,72,10,50.000,256,-256,0,0x00004e5a,9.793945,0,1,0,203,1.015
73,bipolar_sweep,73,73,10,50.000,256,-256,0,0x0000486e,9.053711,0,1,0,204,1.020
74,bipolar_sweep,74,74,10,50.000,256,-256,0,0x00003fd4,7.978516,0,1,0,204,1.020
75,bipolar_sweep,75,75,10,50.000,256,-256,0,0x000045a2,8.704102,0,1,0,204,1.020
76,bipolar_sweep,76,76,10,50.000,256,-256,0,0x00005ba4,11.455078,0,1,0,203,1.015
77,bipolar_sweep,77,77,10,50.000,256,-256,0,0x0000632e,12.397461,0,1,0,203,1.015
78,bipolar_sweep,78,78,10,50.000,256,-256,0,0x00004af9,9.371582,0,1,0,204,1.020
79,bipolar_sweep,79,79,10,50.000,256,-256,0,0x0000496f,9.179199,0,1,0,204,1.020
80,bipolar_sweep,80,80,10,50.000,256,-256,0,0x000044aa,8.583008,0,1,0,204,1.020
81,bipolar_sweep,81,81,10,50.000,256,-256,0,0x00003ccd,7.600098,0,1,0,203,1.015
82,bipolar_sweep,82,82,10,50.000,256,-256,0,0x00003e63,7.798340,0,1,0,203,1.015
83,bipolar_sweep,83,83,10,50.000,256,-256,0,0x0000394c,7.162109,0,1,0,204,1.020
84,bipolar_sweep,84,84,10,50.000,256,-256,0,0x000021ed,4.240723,0,1,0,204,1.020
85,bipolar_sweep,85,85,10,50.000,256,-256,0,0x00001863,3.048340,0,1,0,204,1.020
86,bipolar_sweep,86,86,10,50.000,256,-256,0,0x00001326,2.393555,0,1,0,203,1.015
