sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
0,0x003fed0b,-2.369629,0,0,1,207,1.035
1,0x003fed53,-2.334473,0,0,1,202,1.010
2,0x003fed27,-2.355957,0,0,1,202,1.010
3,0x003fed83,-2.311035,0,0,1,203,1.015
4,0x003fee03,-2.248535,0,0,1,203,1.015
5,0x003fee7d,-2.188965,0,0,1,204,1.020
6,0x003fedfd,-2.251465,0,0,1,203,1.015
7,0x003fedfd,-2.251465,0,0,1,203,1.015
8,0x003fef87,-2.059082,0,0,1,204,1.020
9,0x003fef57,-2.082520,0,0,1,204,1.020
10,0x003fef8b,-2.057129,0,0,1,204,1.020
11,0x003fef42,-2.092773,0,0,1,203,1.015
12,0x003fee16,-2.239258,0,0,1,203,1.015
13,0x003fee06,-2.247070,0,0,1,204,1.020
14,0x003fef8c,-2.056641,0,0,1,204,1.020
15,0x003fefcc,-2.025391,0,0,1,204,1.020
16,0x003ff07c,-1.939453,0,0,1,203,1.015
17,0x003ff033,-1.975098,0,0,1,203,1.015
18,0x003fef0d,-2.118652,0,0,1,204,1.020
19,0x003feee5,-2.138184,0,0,1,204,1.020
20,0x003ff05f,-1.953613,0,0,1,204,1.020
21,0x003ff017,-1.988770,0,0,1,203,1.015
22,0x003ff067,-1.949707,0,0,1,203,1.015
23,0x003fefee,-2.008789,0,0,1,204,1.020
24,0x003fee84,-2.185547,0,0,1,204,1.020
25,0x003fee88,-2.183594,0,0,1,204,1.020
26,0x003fef9e,-2.047852,0,0,1,203,1.015
27,0x003fef26,-2.106445,0,0,1,203,1.015
28,0x003fef02,-2.124023,0,0,1,204,1.020
29,0x003feea9,-2.167480,0,0,1,204,1.020
30,0x003fedaf,-2.289551,0,0,1,204,1.020
31,0x003fed6b,-2.322754,0,0,1,203,1.015
32,0x003fee9f,-2.172363,0,0,1,203,1.015
33,0x003feef3,-2.131348,0,0,1,204,1.020
34,0x003fef5f,-2.078613,0,0,1,204,1.020
35,0x003fef3d,-2.095215,0,0,1,204,1.020
36,0x003fee57,-2.207520,0,0,1,203,1.015
37,0x003fee93,-2.178223,0,0,1,203,1.015
38,0x003ff00f,-1.992676,0,0,1,204,1.020
39,0x003ff0d3,-1.896973,0,0,1,204,1.020
40,0x003ff147,-1.840332,0,0,1,204,1.020
41,0x003ff12d,-1.853027,0,0,1,203,1.015
