sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
0,polar_sweep,0,0,5,50.000,256,0,0,0x003fed0b,-2.369629,0,0,1,207,1.035
1,polar_sweep,1,1,5,50.000,256,0,0,0x003fed53,-2.334473,0,0,1,202,1.010
2,polar_sweep,2,2,5,50.000,256,0,0,0x003fed27,-2.355957,0,0,1,202,1.010
3,polar_sweep,3,3,5,50.000,256,0,0,0x003fed83,-2.311035,0,0,1,203,1.015
4,polar_sweep,4,4,5,50.000,256,0,0,0x003fee03,-2.248535,0,0,1,203,1.015
5,polar_sweep,5,5,5,50.000,256,0,0,0x003fee7d,-2.188965,0,0,1,204,1.020
6,polar_sweep,6,6,5,50.000,256,0,0,0x003fedfd,-2.251465,0,0,1,203,1.015
7,polar_sweep,7,7,5,50.000,256,0,0,0x003fedfd,-2.251465,0,0,1,203,1.015
8,polar_sweep,8,8,5,50.000,256,0,0,0x003fef87,-2.059082,0,0,1,204,1.020
9,polar_sweep,9,9,5,50.000,256,0,0,0x003fef57,-2.082520,0,0,1,204,1.020
10,polar_sweep,10,10,5,50.000,256,0,0,0x003fef8b,-2.057129,0,0,1,204,1.020
11,polar_sweep,11,11,5,50.000,256,0,0,0x003fef42,-2.092773,0,0,1,203,1.015
12,polar_sweep,12,12,5,50.000,256,0,0,0x003fee16,-2.239258,0,0,1,203,1.015
13,polar_sweep,13,13,5,50.000,256,0,0,0x003fee06,-2.247070,0,0,1,204,1.020
14,polar_sweep,14,14,5,50.000,256,0,0,0x003fef8c,-2.056641,0,0,1,204,1.020
15,polar_sweep,15,15,5,50.000,256,0,0,0x003fefcc,-2.025391,0,0,1,204,1.020
16,polar_sweep,16,16,5,50.000,256,0,0,0x003ff07c,-1.939453,0,0,1,203,1.015
17,polar_sweep,17,17,5,50.000,256,0,0,0x003ff033,-1.975098,0,0,1,203,1.015
18,polar_sweep,18,18,5,50.000,256,0,0,0x003fef0d,-2.118652,0,0,1,204,1.020
19,polar_sweep,19,19,5,50.000,256,0,0,0x003feee5,-2.138184,0,0,1,204,1.020
20,polar_sweep,20,20,5,50.000,256,0,0,0x003ff05f,-1.953613,0,0,1,204,1.020
21,polar_sweep,21,21,5,50.000,256,0,0,0x003ff017,-1.988770,0,0,1,203,1.015
22,polar_sweep,22,22,5,50.000,256,0,0,0x003ff067,-1.949707,0,0,1,203,1.015
23,polar_sweep,23,23,5,50.000,256,0,0,0x003fefee,-2.008789,0,0,1,204,1.020
24,polar_sweep,24,24,5,50.000,256,0,0,0x003fee84,-2.185547,0,0,1,204,1.020
25,polar_sweep,25,25,5,50.000,256,0,0,0x003fee88,-2.183594,0,0,1,204,1.020
26,polar_sweep,26,26,5,50.000,256,0,0,0x003fef9e,-2.047852,0,0,1,203,1.015
27,polar_sweep,27,27,5,50.000,256,0,0,0x003fef26,-2.106445,0,0,1,203,1.015
28,polar_sweep,28,28,5,50.000,256,0,0,0x003fef02,-2.124023,0,0,1,204,1.020
29,polar_sweep,29,29,5,50.000,256,0,0,0x003feea9,-2.167480,0,0,1,204,1.020
30,polar_sweep,30,30,5,50.000,256,0,0,0x003fedaf,-2.289551,0,0,1,204,1.020
31,polar_sweep,31,31,5,50.000,256,0,0,0x003fed6b,-2.322754,0,0,1,203,1.015
32,polar_sweep,32,32,5,50.000,256,0,0,0x003fee9f,-2.172363,0,0,1,203,1.015
33,polar_sweep,33,33,5,50.000,256,0,0,0x003feef3,-2.131348,0,0,1,204,1.020
34,polar_sweep,34,34,5,50.000,256,0,0,0x003fef5f,-2.078613,0,0,1,204,1.020
35,polar_sweep,35,35,5,50.000,256,0,0,0x003fef3d,-2.095215,0,0,1,204,1.020
36,polar_sweep,36,36,5,50.000,256,0,0,0x003fee57,-2.207520,0,0,1,203,1.015
37,polar_sweep,37,37,5,50.000,256,0,0,0x003fee93,-2.178223,0,0,1,203,1.015
38,polar_sweep,38,38,5,50.000,256,0,0,0x003ff00f,-1.992676,0,0,1,204,1.020
39,polar_sweep,39,39,5,50.000,256,0,0,0x003ff0d3,-1.896973,0,0,1,204,1.020
40,polar_sweep,40,40,5,50.000,256,0,0,0x003ff147,-1.840332,0,0,1,204,1.020
41,polar_sweep,41,41,5,50.000,256,0,0,0x003ff12d,-1.853027,0,0,1,203,1.015
42,polar_sweep,42,42,5,50.000,256,0,0,0x003ff035,-1.974121,0,0,1,203,1.015
43,polar_sweep,43,43,5,50.000,256,0,0,0x003ff001,-1.999512,0,0,1,204,1.020
44,polar_sweep,44,44,5,50.000,256,0,0,0x003ff237,-1.723145,0,0,1,204,1.020
45,polar_sweep,45,45,5,50.000,256,0,0,0x003ff293,-1.678223,0,0,1,204,1.020
46,polar_sweep,46,46,5,50.000,256,0,0,0x003ff387,-1.559082,0,0,1,203,1.015
47,polar_sweep,47,47,5,50.000,256,0,0,0x003ff2f3,-1.631348,0,0,1,203,1.015
48,polar_sweep,48,48,5,50.000,256,0,0,0x003ff23d,-1.720215,0,0,1,204,1.020
49,polar_sweep,49,49,5,50.000,256,0,0,0x003ff22d,-1.728027,0,0,1,204,1.020
50,polar_sweep,50,50,5,50.000,256,0,0,0x003ff797,-1.051270,0,0,1,204,1.020
51,polar_sweep,51,51,5,50.000,256,0,0,0x003ffd8f,-0.305176,0,0,1,203,1.015
52,polar_sweep,52,52,5,50.000,256,0,0,0x0000064b,0.786621,0,1,0,203,1.015
53,polar_sweep,53,53,5,50.000,256,0,0,0x000009ec,1.240234,0,1,0,204,1.020
54,polar_sweep,54,54,5,50.000,256,0,0,0x000008c8,1.097656,0,1,0,204,1.020
55,polar_sweep,55,55,5,50.000,256,0,0,0x00000944,1.158203,0,1,0,204,1.020
56,polar_sweep,56,56,5,50.000,256,0,0,0x00001470,2.554688,0,1,0,203,1.015
57,polar_sweep,57,57,5,50.000,256,0,0,0x000024a4,4.580078,0,1,0,203,1.015
58,polar_sweep,58,58,5,50.000,256,0,0,0x00003550,6.664062,0,1,0,204,1.020
