sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel
0,zero,-1,-1,0,0.000,0,0,0
1,zero,-1,-1,0,0.000,0,0,0
2,zero,-1,-1,0,0.000,0,0,0
3,zero,-1,-1,0,0.000,0,0,0
4,zero,-1,-1,0,0.000,0,0,0
5,zero,-1,-1,0,0.000,0,0,0
6,zero,-1,-1,0,0.000,0,0,0
7,zero,-1,-1,0,0.000,0,0,0
8,zero,-1,-1,0,0.000,0,0,0
9,zero,-1,-1,0,0.000,0,0,0
10,zero,-1,-1,0,0.000,0,0,0
11,zero,-1,-1,0,0.000,0,0,0
12,zero,-1,-1,0,0.000,0,0,0
13,zero,-1,-1,0,0.000,0,0,0
14,zero,-1,-1,0,0.000,0,0,0
15,zero,-1,-1,0,0.000,0,0,0
16,zero,-1,-1,0,0.000,0,0,0
17,zero,-1,-1,0,0.000,0,0,0
18,zero,-1,-1,0,0.000,0,0,0
19,zero,-1,-1,0,0.000,0,0,0
20,zero,-1,-1,0,0.000,0,0,0
21,zero,-1,-1,0,0.000,0,0,0
22,zero,-1,-1,0,0.000,0,0,0
23,zero,-1,-1,0,0.000,0,0,0
24,zero,-1,-1,0,0.000,0,0,0
25,zero,-1,-1,0,0.000,0,0,0
26,zero,-1,-1,0,0.000,0,0,0
27,zero,-1,-1,0,0.000,0,0,0
28,zero,-1,-1,0,0.000,0,0,0
29,zero,-1,-1,0,0.000,0,0,0
30,zero,-1,-1,0,0.000,0,0,0
31,zero,-1,-1,0,0.000,0,0,0
32,zero,-1,-1,0,0.000,0,0,0
33,zero,-1,-1,0,0.000,0,0,0
34,zero,-1,-1,0,0.000,0,0,0
35,zero,-1,-1,0,0.000,0,0,0
36,zero,-1,-1,0,0.000,0,0,0
37,zero,-1,-1,0,0.000,0,0,0
38,zero,-1,-1,0,0.000,0,0,0
39,zero,-1,-1,0,0.000,0,0,0
40,zero,-1,-1,0,0.000,0,0,0
41,zero,-1,-1,0,0.000,0,0,0
42,zero,-1,-1,0,0.000,0,0,0
43,zero,-1,-1,0,0.000,0,0,0
44,zero,-1,-1,0,0.000,0,0,0
45,zero,-1,-1,0,0.000,0,0,0
46,zero,-1,-1,0,0.000,0,0,0
47,zero,-1,-1,0,0.000,0,0,0
48,zero,-1,-1,0,0.000,0,0,0
49,zero,-1,-1,0,0.000,0,0,0
50,zero,-1,-1,0,0.000,0,0,0
51,zero,-1,-1,0,0.000,0,0,0
52,zero,-1,-1,0,0.000,0,0,0
53,zero,-1,-1,0,0.000,0,0,0
54,zero,-1,-1,0,0.000,0,0,0
55,zero,-1,-1,0,0.000,0,0,0
56,zero,-1,-1,0,0.000,0,0,0
57,zero,-1,-1,0,0.000,0,0,0
58,zero,-1,-1,0,0.000,0,0,0
59,zero,-1,-1,0,0.000,0,0,0
60,zero,-1,-1,0,0.000,0,0,0
61,zero,-1,-1,0,0.000,0,0,0
62,zero,-1,-1,0,0.000,0,0,0
63,zero,-1,-1,0,0.000,0,0,0
64,zero,-1,-1,0,0.000,0,0,0
65,zero,-1,-1,0,0.000,0,0,0
66,zero,-1,-1,0,0.000,0,0,0
67,zero,-1,-1,0,0.000,0,0,0
68,zero,-1,-1,0,0.000,0,0,0
69,zero,-1,-1,0,0.000,0,0,0
70,zero,-1,-1,0,0.000,0,0,0
71,zero,-1,-1,0,0.000,0,0,0
72,zero,-1,-1,0,0.000,0,0,0
73,zero,-1,-1,0,0.000,0,0,0
74,zero,-1,-1,0,0.000,0,0,0
75,zero,-1,-1,0,0.000,0,0,0
76,zero,-1,-1,0,0.000,0,0,0
77,zero,-1,-1,0,0.000,0,0,0
78,zero,-1,-1,0,0.000,0,0,0
79,zero,-1,-1,0,0.000,0,0,0
80,zero,-1,-1,0,0.000,0,0,0
81,zero,-1,-1,0,0.000,0,0,0
82,zero,-1,-1,0,0.000,0,0,0
83,zero,-1,-1,0,0.000,0,0,0
84,zero,-1,-1,0,0.000,0,0,0
85,zero,-1,-1,0,0.000,0,0,0
86,zero,-1,-1,0,0.000,0,0,0
87,zero,-1,-1,0,0.000,0,0,0
88,zero,-1,-1,0,0.000,0,0,0
89,zero,-1,-1,0,0.000,0,0,0
90,zero,-1,-1,0,0.000,0,0,0
91,zero,-1,-1,0,0.000,0,0,0
92,zero,-1,-1,0,0.000,0,0,0
93,zero,-1,-1,0,0.000,0,0,0
94,zero,-1,-1,0,0.000,0,0,0
95,zero,-1,-1,0,0.000,0,0,0
96,zero,-1,-1,0,0.000,0,0,0
97,zero,-1,-1,0,0.000,0,0,0
98,zero,-1,-1,0,0.000,0,0,0
99,zero,-1,-1,0,0.000,0,0,0
100,zero,-1,-1,0,0.000,0,0,0
101,zero,-1,-1,0,0.000,0,0,0
102,zero,-1,-1,0,0.000,0,0,0
103,zero,-1,-1,0,0.000,0,0,0
104,zero,-1,-1,0,0.000,0,0,0
105,zero,-1,-1,0,0.000,0,0,0
106,zero,-1,-1,0,0.000,0,0,0
107,zero,-1,-1,0,0.000,0,0,0
108,zero,-1,-1,0,0.000,0,0,0
109,zero,-1,-1,0,0.000,0,0,0
110,zero,-1,-1,0,0.000,0,0,0
111,zero,-1,-1,0,0.000,0,0,0
112,zero,-1,-1,0,0.000,0,0,0
113,zero,-1,-1,0,0.000,0,0,0
114,zero,-1,-1,0,0.000,0,0,0
115,zero,-1,-1,0,0.000,0,0,0
116,zero,-1,-1,0,0.000,0,0,0
117,zero,-1,-1,0,0.000,0,0,0
118,zero,-1,-1,0,0.000,0,0,0
119,zero,-1,-1,0,0.000,0,0,0
120,zero,-1,-1,0,0.000,0,0,0
121,zero,-1,-1,0,0.000,0,0,0
122,zero,-1,-1,0,0.000,0,0,0
123,zero,-1,-1,0,0.000,0,0,0
124,zero,-1,-1,0,0.000,0,0,0
125,zero,-1,-1,0,0.000,0,0,0
126,zero,-1,-1,0,0.000,0,0,0
127,zero,-1,-1,0,0.000,0,0,0
128,zero,-1,-1,0,0.000,0,0,0
129,zero,-1,-1,0,0.000,0,0,0
130,zero,-1,-1,0,0.000,0,0,0
131,zero,-1,-1,0,0.000,0,0,0
132,zero,-1,-1,0,0.000,0,0,0
133,zero,-1,-1,0,0.000,0,0,0
134,zero,-1,-1,0,0.000,0,0,0
135,zero,-1,-1,0,0.000,0,0,0
136,zero,-1,-1,0,0.000,0,0,0
137,zero,-1,-1,0,0.000,0,0,0
138,zero,-1,-1,0,0.000,0,0,0
139,zero,-1,-1,0,0.000,0,0,0
140,zero,-1,-1,0,0.000,0,0,0
141,zero,-1,-1,0,0.000,0,0,0
142,zero,-1,-1,0,0.000,0,0,0
143,zero,-1,-1,0,0.000,0,0,0
144,zero,-1,-1,0,0.000,0,0,0
145,zero,-1,-1,0,0.000,0,0,0
146,zero,-1,-1,0,0.000,0,0,0
147,zero,-1,-1,0,0.000,0,0,0
148,zero,-1,-1,0,0.000,0,0,0
149,zero,-1,-1,0,0.000,0,0,0
150,zero,-1,-1,0,0.000,0,0,0
151,zero,-1,-1,0,0.000,0,0,0
152,zero,-1,-1,0,0.000,0,0,0
153,zero,-1,-1,0,0.000,0,0,0
154,zero,-1,-1,0,0.000,0,0,0
155,zero,-1,-1,0,0.000,0,0,0
156,zero,-1,-1,0,0.000,0,0,0
157,zero,-1,-1,0,0.000,0,0,0
158,zero,-1,-1,0,0.000,0,0,0
159,zero,-1,-1,0,0.000,0,0,0
160,zero,-1,-1,0,0.000,0,0,0
161,zero,-1,-1,0,0.000,0,0,0
162,zero,-1,-1,0,0.000,0,0,0
163,zero,-1,-1,0,0.000,0,0,0
164,zero,-1,-1,0,0.000,0,0,0
165,zero,-1,-1,0,0.000,0,0,0
166,zero,-1,-1,0,0.000,0,0,0
167,zero,-1,-1,0,0.000,0,0,0
168,zero,-1,-1,0,0.000,0,0,0
169,zero,-1,-1,0,0.000,0,0,0
170,zero,-1,-1,0,0.000,0,0,0
171,zero,-1,-1,0,0.000,0,0,0
172,zero,-1,-1,0,0.000,0,0,0
173,zero,-1,-1,0,0.000,0,0,0
174,zero,-1,-1,0,0.000,0,0,0
175,zero,-1,-1,0,0.000,0,0,0
176,zero,-1,-1,0,0.000,0,0,0
177,zero,-1,-1,0,0.000,0,0,0
178,zero,-1,-1,0,0.000,0,0,0
179,zero,-1,-1,0,0.000,0,0,0
180,zero,-1,-1,0,0.000,0,0,0
181,zero,-1,-1,0,0.000,0,0,0
182,zero,-1,-1,0,0.000,0,0,0
183,zero,-1,-1,0,0.000,0,0,0
184,zero,-1,-1,0,0.000,0,0,0
185,zero,-1,-1,0,0.000,0,0,0
186,zero,-1,-1,0,0.000,0,0,0
187,zero,-1,-1,0,0.000,0,0,0
188,zero,-1,-1,0,0.000,0,0,0
189,zero,-1,-1,0,0.000,0,0,0
190,zero,-1,-1,0,0.000,0,0,0
191,zero,-1,-1,0,0.000,0,0,0
192,zero,-1,-1,0,0.000,0,0,0
193,zero,-1,-1,0,0.000,0,0,0
194,zero,-1,-1,0,0.000,0,0,0
195,zero,-1,-1,0,0.000,0,0,0
196,zero,-1,-1,0,0.000,0,0,0
197,zero,-1,-1,0,0.000,0,0,0
198,zero,-1,-1,0,0.000,0,0,0
199,zero,-1,-1,0,0.000,0,0,0
200,zero,-1,-1,0,0.000,0,0,0
201,zero,-1,-1,0,0.000,0,0,0
202,zero,-1,-1,0,0.000,0,0,0
203,zero,-1,-1,0,0.000,0,0,0
