sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
0,0x003fee54,-2.208984,0,0,1,207,1.035
1,0x003fee54,-2.208984,0,0,1,202,1.010
2,0x003fee54,-2.208984,0,0,1,202,1.010
3,0x003fee54,-2.208984,0,0,1,203,1.015
4,0x003fee54,-2.208984,0,0,1,203,1.015
5,0x003fee54,-2.208984,0,0,1,204,1.020
6,0x003fee54,-2.208984,0,0,1,203,1.015
7,0x003fee54,-2.208984,0,0,1,203,1.015
8,0x003fee54,-2.208984,0,0,1,204,1.020
9,0x003fee54,-2.208984,0,0,1,204,1.020
10,0x003fee54,-2.208984,0,0,1,204,1.020
11,0x003fee54,-2.208984,0,0,1,203,1.015
12,0x003fee54,-2.208984,0,0,1,203,1.015
13,0x003fee54,-2.208984,0,0,1,204,1.020
14,0x003fee54,-2.208984,0,0,1,204,1.020
15,0x003fee54,-2.208984,0,0,1,204,1.020
16,0x003fee54,-2.208984,0,0,1,203,1.015
17,0x003fee54,-2.208984,0,0,1,203,1.015
18,0x003fee54,-2.208984,0,0,1,204,1.020
19,0x003fee54,-2.208984,0,0,1,204,1.020
20,0x003fee54,-2.208984,0,0,1,204,1.020
21,0x003fee54,-2.208984,0,0,1,203,1.015
22,0x003fee54,-2.208984,0,0,1,203,1.015
23,0x003fee54,-2.208984,0,0,1,204,1.020
24,0x003fee54,-2.208984,0,0,1,204,1.020
25,0x003fee54,-2.208984,0,0,1,204,1.020
26,0x003fee54,-2.208984,0,0,1,203,1.015
27,0x003fee54,-2.208984,0,0,1,203,1.015
28,0x003fee54,-2.208984,0,0,1,204,1.020
29,0x003fee54,-2.208984,0,0,1,204,1.020
30,0x003fee54,-2.208984,0,0,1,204,1.020
31,0x003fee54,-2.208984,0,0,1,203,1.015
32,0x003fee54,-2.208984,0,0,1,203,1.015
33,0x003fee54,-2.208984,0,0,1,204,1.020
34,0x003fee54,-2.208984,0,0,1,204,1.020
35,0x003fee54,-2.208984,0,0,1,204,1.020
36,0x003fee54,-2.208984,0,0,1,203,1.015
37,0x003fee54,-2.208984,0,0,1,203,1.015
38,0x003fee54,-2.208984,0,0,1,204,1.020
39,0x003fee54,-2.208984,0,0,1,204,1.020
40,0x003fee54,-2.208984,0,0,1,204,1.020
41,0x003fee54,-2.208984,0,0,1,203,1.015
42,0x003fee54,-2.208984,0,0,1,203,1.015
43,0x003fee54,-2.208984,0,0,1,204,1.020
44,0x003fee54,-2.208984,0,0,1,204,1.020
45,0x003fee54,-2.208984,0,0,1,204,1.020
46,0x003fee54,-2.208984,0,0,1,203,1.015
47,0x003fee54,-2.208984,0,0,1,203,1.015
48,0x003fee54,-2.208984,0,0,1,204,1.020
49,0x003fee54,-2.208984,0,0,1,204,1.020
50,0x003fee54,-2.208984,0,0,1,204,1.020
51,0x003fee54,-2.208984,0,0,1,203,1.015
52,0x003fee54,-2.208984,0,0,1,203,1.015
53,0x003fee54,-2.208984,0,0,1,204,1.020
54,0x003fee54,-2.208984,0,0,1,204,1.020
55,0x003fee54,-2.208984,0,0,1,204,1.020
56,0x003fee54,-2.208984,0,0,1,203,1.015
57,0x003fee54,-2.208984,0,0,1,203,1.015
58,0x003fee54,-2.208984,0,0,1,204,1.020
59,0x003fee54,-2.208984,0,0,1,204,1.020
60,0x003fee54,-2.208984,0,0,1,204,1.020
61,0x003fee54,-2.208984,0,0,1,203,1.015
62,0x003fee54,-2.208984,0,0,1,203,1.015
63,0x003fee54,-2.208984,0,0,1,204,1.020
64,0x003fee54,-2.208984,0,0,1,204,1.020
65,0x003fee54,-2.208984,0,0,1,204,1.020
66,0x003fee54,-2.208984,0,0,1,203,1.015
67,0x003fee54,-2.208984,0,0,1,203,1.015
68,0x003fee54,-2.208984,0,0,1,204,1.020
69,0x003fee54,-2.208984,0,0,1,204,1.020
70,0x003fee54,-2.208984,0,0,1,204,1.020
71,0x003fee54,-2.208984,0,0,1,203,1.015
72,0x003fee54,-2.208984,0,0,1,203,1.015
73,0x003fee54,-2.208984,0,0,1,204,1.020
74,0x003fee54,-2.208984,0,0,1,204,1.020
75,0x003fee54,-2.208984,0,0,1,204,1.020
76,0x003fee54,-2.208984,0,0,1,203,1.015
77,0x003fee54,-2.208984,0,0,1,203,1.015
78,0x003fee54,-2.208984,0,0,1,204,1.020
79,0x003fee54,-2.208984,0,0,1,204,1.020
80,0x003fee54,-2.208984,0,0,1,204,1.020
81,0x003fee54,-2.208984,0,0,1,203,1.015
82,0x003fee54,-2.208984,0,0,1,203,1.015
83,0x003fee54,-2.208984,0,0,1,204,1.020
84,0x003fee54,-2.208984,0,0,1,204,1.020
85,0x003fee54,-2.208984,0,0,1,204,1.020
86,0x003fee54,-2.208984,0,0,1,203,1.015
87,0x003fee54,-2.208984,0,0,1,203,1.015
88,0x003fee54,-2.208984,0,0,1,204,1.020
89,0x003fee54,-2.208984,0,0,1,204,1.020
90,0x003fee54,-2.208984,0,0,1,204,1.020
