sample_id,stim_kind,pulse_offset_sample,pulse_start_ns,pulse_width_samples,pulse_peak_mv,adc_code_pos,adc_code_neg,pulse_channel,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
0,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,207,1.035
1,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,202,1.010
2,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,202,1.010
3,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
4,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
5,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
6,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
7,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
8,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
9,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
10,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
11,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
12,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
13,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
14,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
15,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
16,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
17,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
18,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
19,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
20,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
21,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
22,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
23,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
24,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
25,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
26,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
27,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
28,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
29,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
30,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
31,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
32,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
33,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
34,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
35,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
36,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
37,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
38,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
39,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
40,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
41,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
42,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,203,1.015
43,zero,-1,-1,0,0.000,0,0,0,0x003fee54,-2.208984,0,0,1,204,1.020
