source_chunk_id,local_chunk_id,label,input_batch_index,input_time_ns,input_first_fire_time_ns,input_last_fire_time_ns,input_stream_complete,input_valid,sim_input_ready,input_fire,input_ch0_s0,input_ch0_s1,input_ch0_s2,input_ch0_s3,input_ch1_s0,input_ch1_s1,input_ch1_s2,input_ch1_s3,input_ch2_s0,input_ch2_s1,input_ch2_s2,input_ch2_s3,input_ch3_s0,input_ch3_s1,input_ch3_s2,input_ch3_s3,input_ch4_s0,input_ch4_s1,input_ch4_s2,input_ch4_s3,input_ch5_s0,input_ch5_s1,input_ch5_s2,input_ch5_s3,input_ch6_s0,input_ch6_s1,input_ch6_s2,input_ch6_s3,input_ch7_s0,input_ch7_s1,input_ch7_s2,input_ch7_s3,cnn_result_seen,cnn_result_time_ns,cnn_score_hex,cnn_score_float,cnn_threshold_raw,cnn_threshold_float,trigger_decision,cnn_latency_cycles,cnn_latency_ns,event_present,event_index,event_output_time_ns,event_valid,event_ready,event_fire,event_chunk_id,event_timestamp,event_score_hex,event_batch_index,event_last,event_ch0_s0,event_ch0_s1,event_ch0_s2,event_ch0_s3,event_ch1_s0,event_ch1_s1,event_ch1_s2,event_ch1_s3,event_ch2_s0,event_ch2_s1,event_ch2_s2,event_ch2_s3,event_ch3_s0,event_ch3_s1,event_ch3_s2,event_ch3_s3,event_ch4_s0,event_ch4_s1,event_ch4_s2,event_ch4_s3,event_ch5_s0,event_ch5_s1,event_ch5_s2,event_ch5_s3,event_ch6_s0,event_ch6_s1,event_ch6_s2,event_ch6_s3,event_ch7_s0,event_ch7_s1,event_ch7_s2,event_ch7_s3,waveform_match,event_beat_count,event_complete,event_line_rate_ok,signal_readout_ok,noise_ignored_ok,continuous_readout_ok,chunk_overflow_count,adc_input_overflow_count,dropped_trigger_count,ring_miss_count
490,0,1,0,234,234,486,1,1,1,1,-23,73,35,-27,48,41,21,12,103,-44,-21,20,39,62,-40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1298,1,1,1,0,0,0x00001adc,0,0,-23,73,35,-27,48,41,21,12,103,-44,-21,20,39,62,-40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,1,238,234,486,1,1,1,1,-54,67,-11,-106,-67,50,12,-50,-107,150,-9,-31,-52,11,35,-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1302,1,1,1,0,0,0x00001adc,1,0,-54,67,-11,-106,-67,50,12,-50,-107,150,-9,-31,-52,11,35,-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,2,242,234,486,1,1,1,1,73,-21,146,-86,-44,72,38,10,-15,-55,44,14,62,88,-61,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1306,1,1,1,0,0,0x00001adc,2,0,73,-21,146,-86,-44,72,38,10,-15,-55,44,14,62,88,-61,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,3,246,234,486,1,1,1,1,-100,58,35,-75,-127,40,57,-12,69,-67,-56,102,-68,23,120,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1310,1,1,1,0,0,0x00001adc,3,0,-100,58,35,-75,-127,40,57,-12,69,-67,-56,102,-68,23,120,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,4,250,234,486,1,1,1,1,70,23,-16,-27,-17,3,51,-73,-44,-78,76,58,-34,-10,10,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1314,1,1,1,0,0,0x00001adc,4,0,70,23,-16,-27,-17,3,51,-73,-44,-78,76,58,-34,-10,10,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,5,254,234,486,1,1,1,1,-38,65,-51,23,-23,28,49,9,-13,-68,-50,83,-90,-71,110,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1318,1,1,1,0,0,0x00001adc,5,0,-38,65,-51,23,-23,28,49,9,-13,-68,-50,83,-90,-71,110,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,6,258,234,486,1,1,1,1,22,49,-134,22,-75,27,11,-8,-2,41,-37,-19,15,76,31,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1322,1,1,1,0,0,0x00001adc,6,0,22,49,-134,22,-75,27,11,-8,-2,41,-37,-19,15,76,31,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,7,262,234,486,1,1,1,1,91,3,-37,-30,63,-57,-65,26,-17,-58,128,36,-65,107,-75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1326,1,1,1,0,0,0x00001adc,7,0,91,3,-37,-30,63,-57,-65,26,-17,-58,128,36,-65,107,-75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,8,266,234,486,1,1,1,1,12,-42,111,-100,108,9,-175,89,-82,-81,62,69,55,-5,-42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1330,1,1,1,0,0,0x00001adc,8,0,12,-42,111,-100,108,9,-175,89,-82,-81,62,69,55,-5,-42,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,9,270,234,486,1,1,1,1,68,25,-123,81,66,-96,38,14,39,-108,-39,15,15,-55,33,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1334,1,1,1,0,0,0x00001adc,9,0,68,25,-123,81,66,-96,38,14,39,-108,-39,15,15,-55,33,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,10,274,234,486,1,1,1,1,24,-68,1,96,20,-35,13,-76,102,-83,24,58,-8,54,-9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1338,1,1,1,0,0,0x00001adc,10,0,24,-68,1,96,20,-35,13,-76,102,-83,24,58,-8,54,-9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,11,278,234,486,1,1,1,1,-41,-72,75,-8,60,76,-13,-114,-30,-69,14,30,-86,65,-26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1342,1,1,1,0,0,0x00001adc,11,0,-41,-72,75,-8,60,76,-13,-114,-30,-69,14,30,-86,65,-26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
490,0,1,12,282,234,486,1,1,1,1,-27,-15,-12,48,26,-16,80,17,4,38,-1,-67,21,-11,-37,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1243,0x00001adc,3.357422,0,0.000000,1,202,1010.000,1,0,1346,1,1,1,0,0,0x00001adc,12,0,-27,-15,-12,48,26,-16,80,17,4,38,-1,-67,21,-11,-37,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,1,1,1,0,0,0,0,0,0
