sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
0,0x003fee62,-2.202148,0,0,1,202,1.010,234,486,1243
1,0x003fee63,-2.201660,0,0,1,201,1.005,1246,1498,2253
2,0x003feeeb,-2.135254,0,0,1,202,1.010,2254,2506,3263
3,0x003fee60,-2.203125,0,0,1,201,1.005,3266,3518,4273
4,0x003fedb8,-2.285156,0,0,1,202,1.010,4274,4526,5283
5,0x003feddc,-2.267578,0,0,1,202,1.010,5286,5538,6298
6,0x003fee2c,-2.228516,0,0,1,203,1.015,6298,6550,7313
7,0x003fee6d,-2.196777,0,0,1,203,1.015,7314,7566,8328
8,0x003fee8f,-2.180176,0,0,1,203,1.015,8330,8582,9343
9,0x003fedc0,-2.281250,0,0,1,202,1.010,9346,9598,10358
10,0x003fed7f,-2.312988,0,0,1,203,1.015,10358,10610,11373
11,0x003fee0c,-2.244141,0,0,1,203,1.015,11374,11626,12388
12,0x003feda4,-2.294922,0,0,1,203,1.015,12390,12642,13403
13,0x003fee2f,-2.227051,0,0,1,202,1.010,13406,13658,14418
14,0x003fee1d,-2.235840,0,0,1,203,1.015,14418,14670,15433
15,0x003fed4c,-2.337891,0,0,1,203,1.015,15434,15686,16448
16,0x003fed74,-2.318359,0,0,1,203,1.015,16450,16702,17463
17,0x003fedb3,-2.287598,0,0,1,202,1.010,17466,17718,18478
18,0x003fed4a,-2.338867,0,0,1,203,1.015,18478,18730,19493
19,0x003fedf7,-2.254395,0,0,1,203,1.015,19494,19746,20508
20,0x003feda6,-2.293945,0,0,1,203,1.015,20510,20762,21523
21,0x003fed17,-2.363770,0,0,1,202,1.010,21526,21778,22538
22,0x003fed3e,-2.344727,0,0,1,203,1.015,22538,22790,23553
23,0x003fed78,-2.316406,0,0,1,203,1.015,23554,23806,24568
24,0x003fed5f,-2.328613,0,0,1,203,1.015,24570,24822,25583
25,0x003fedda,-2.268555,0,0,1,202,1.010,25586,25838,26598
26,0x003feda9,-2.292480,0,0,1,203,1.015,26598,26850,27613
27,0x003fed19,-2.362793,0,0,1,203,1.015,27614,27866,28628
28,0x003fed89,-2.308105,0,0,1,203,1.015,28630,28882,29643
29,0x003fed7c,-2.314453,0,0,1,202,1.010,29646,29898,30658
30,0x003fed6d,-2.321777,0,0,1,203,1.015,30658,30910,31673
31,0x003fed7f,-2.312988,0,0,1,203,1.015,31674,31926,32688
32,0x003fed77,-2.316895,0,0,1,203,1.015,32690,32942,33703
33,0x003fecdd,-2.392090,0,0,1,202,1.010,33706,33958,34718
34,0x003fed16,-2.364258,0,0,1,203,1.015,34718,34970,35733
35,0x003fed75,-2.317871,0,0,1,203,1.015,35734,35986,36748
36,0x003fed60,-2.328125,0,0,1,203,1.015,36750,37002,37763
37,0x003fecef,-2.383301,0,0,1,202,1.010,37766,38018,38778
38,0x003fed3c,-2.345703,0,0,1,203,1.015,38778,39030,39793
39,0x003fed49,-2.339355,0,0,1,203,1.015,39794,40046,40808
40,0x003fecff,-2.375488,0,0,1,203,1.015,40810,41062,41823
41,0x003fed72,-2.319336,0,0,1,202,1.010,41826,42078,42838
42,0x003fedec,-2.259766,0,0,1,203,1.015,42838,43090,43853
43,0x003fed24,-2.357422,0,0,1,203,1.015,43854,44106,44868
44,0x003fed50,-2.335938,0,0,1,203,1.015,44870,45122,45883
45,0x003fed80,-2.312500,0,0,1,202,1.010,45886,46138,46898
46,0x003fecb3,-2.412598,0,0,1,203,1.015,46898,47150,47913
47,0x003fed72,-2.319336,0,0,1,203,1.015,47914,48166,48928
48,0x003fedfb,-2.252441,0,0,1,203,1.015,48930,49182,49943
49,0x003fed3a,-2.346680,0,0,1,202,1.010,49946,50198,50958
50,0x003fed00,-2.375000,0,0,1,203,1.015,50958,51210,51973
51,0x003feda8,-2.292969,0,0,1,203,1.015,51974,52226,52988
52,0x003fecf5,-2.380371,0,0,1,203,1.015,52990,53242,54003
53,0x003fed73,-2.318848,0,0,1,202,1.010,54006,54258,55018
54,0x003fee20,-2.234375,0,0,1,203,1.015,55018,55270,56033
55,0x003fed6d,-2.321777,0,0,1,203,1.015,56034,56286,57048
56,0x003fed87,-2.309082,0,0,1,203,1.015,57050,57302,58063
57,0x003fee09,-2.245605,0,0,1,202,1.010,58066,58318,59078
58,0x003fed93,-2.303223,0,0,1,203,1.015,59078,59330,60093
59,0x003fedb0,-2.289062,0,0,1,203,1.015,60094,60346,61108
60,0x003fee6b,-2.197754,0,0,1,203,1.015,61110,61362,62123
