sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
0,0x003ff62c,-1.228516,0,0,1,202,1.010,234,486,1243
1,0x003ff5e6,-1.262695,0,0,1,201,1.005,1246,1498,2253
2,0x003ff540,-1.343750,0,0,1,202,1.010,2254,2506,3263
3,0x003ff4cb,-1.400879,0,0,1,201,1.005,3266,3518,4273
4,0x003ff417,-1.488770,0,0,1,202,1.010,4274,4526,5283
5,0x003ff3b2,-1.538086,0,0,1,202,1.010,5286,5538,6298
6,0x003ff4fd,-1.376465,0,0,1,203,1.015,6298,6550,7313
7,0x003ff58d,-1.306152,0,0,1,203,1.015,7314,7566,8328
8,0x003ff510,-1.367188,0,0,1,203,1.015,8330,8582,9343
9,0x003ff4ae,-1.415039,0,0,1,202,1.010,9346,9598,10358
10,0x003ff475,-1.442871,0,0,1,203,1.015,10358,10610,11373
11,0x003ff3fa,-1.502930,0,0,1,203,1.015,11374,11626,12388
12,0x003ff540,-1.343750,0,0,1,203,1.015,12390,12642,13403
13,0x003ff5a3,-1.295410,0,0,1,202,1.010,13406,13658,14418
14,0x003ff480,-1.437500,0,0,1,203,1.015,14418,14670,15433
15,0x003ff45d,-1.454590,0,0,1,203,1.015,15434,15686,16448
16,0x003ff461,-1.452637,0,0,1,203,1.015,16450,16702,17463
17,0x003ff463,-1.451660,0,0,1,202,1.010,17466,17718,18478
18,0x003ff4ec,-1.384766,0,0,1,203,1.015,18478,18730,19493
19,0x003ff5c9,-1.276855,0,0,1,203,1.015,19494,19746,20508
20,0x003ff4dc,-1.392578,0,0,1,203,1.015,20510,20762,21523
21,0x003ff4e0,-1.390625,0,0,1,202,1.010,21526,21778,22538
22,0x003ff4fd,-1.376465,0,0,1,203,1.015,22538,22790,23553
23,0x003ff4f5,-1.380371,0,0,1,203,1.015,23554,23806,24568
24,0x003ff5d0,-1.273438,0,0,1,203,1.015,24570,24822,25583
25,0x003ff624,-1.232422,0,0,1,202,1.010,25586,25838,26598
26,0x003ff46e,-1.446289,0,0,1,203,1.015,26598,26850,27613
27,0x003ff454,-1.458984,0,0,1,203,1.015,27614,27866,28628
28,0x003ff457,-1.457520,0,0,1,203,1.015,28630,28882,29643
29,0x003ff50b,-1.369629,0,0,1,202,1.010,29646,29898,30658
30,0x003ff5c7,-1.277832,0,0,1,203,1.015,30658,30910,31673
31,0x003ff632,-1.225586,0,0,1,203,1.015,31674,31926,32688
32,0x003ff4af,-1.414551,0,0,1,203,1.015,32690,32942,33703
33,0x003ff52c,-1.353516,0,0,1,202,1.010,33706,33958,34718
34,0x003ff45f,-1.453613,0,0,1,203,1.015,34718,34970,35733
35,0x003ff557,-1.332520,0,0,1,203,1.015,35734,35986,36748
36,0x003ff66e,-1.196289,0,0,1,203,1.015,36750,37002,37763
37,0x003ff5c6,-1.278320,0,0,1,202,1.010,37766,38018,38778
38,0x003ff4d0,-1.398438,0,0,1,203,1.015,38778,39030,39793
39,0x003ff4b3,-1.412598,0,0,1,203,1.015,39794,40046,40808
40,0x003ff43f,-1.469238,0,0,1,203,1.015,40810,41062,41823
41,0x003ff487,-1.434082,0,0,1,202,1.010,41826,42078,42838
42,0x003ff66b,-1.197754,0,0,1,203,1.015,42838,43090,43853
43,0x003ff5de,-1.266602,0,0,1,203,1.015,43854,44106,44868
44,0x003ff49e,-1.422852,0,0,1,203,1.015,44870,45122,45883
45,0x003ff4f2,-1.381836,0,0,1,202,1.010,45886,46138,46898
46,0x003ff4a2,-1.420898,0,0,1,203,1.015,46898,47150,47913
47,0x003ff500,-1.375000,0,0,1,203,1.015,47914,48166,48928
48,0x003ff683,-1.186035,0,0,1,203,1.015,48930,49182,49943
49,0x003ff5ad,-1.290527,0,0,1,202,1.010,49946,50198,50958
50,0x003ff538,-1.347656,0,0,1,203,1.015,50958,51210,51973
51,0x003ff516,-1.364258,0,0,1,203,1.015,51974,52226,52988
52,0x003ff464,-1.451172,0,0,1,203,1.015,52990,53242,54003
53,0x003ff44c,-1.462891,0,0,1,202,1.010,54006,54258,55018
54,0x003ff699,-1.175293,0,0,1,203,1.015,55018,55270,56033
55,0x003ff5f7,-1.254395,0,0,1,203,1.015,56034,56286,57048
56,0x003ff585,-1.310059,0,0,1,203,1.015,57050,57302,58063
57,0x003ff53a,-1.346680,0,0,1,202,1.010,58066,58318,59078
58,0x003ff506,-1.372070,0,0,1,203,1.015,59078,59330,60093
59,0x003ff69e,-1.172852,0,0,1,203,1.015,60094,60346,61108
60,0x003ff730,-1.101562,0,0,1,203,1.015,61110,61362,62123
61,0x003ff658,-1.207031,0,0,1,202,1.010,62126,62378,63138
62,0x003ff69d,-1.173340,0,0,1,203,1.015,63138,63390,64153
63,0x003ff626,-1.231445,0,0,1,203,1.015,64154,64406,65168
64,0x003ff5b7,-1.285645,0,0,1,203,1.015,65170,65422,66183
65,0x003ff84a,-0.963867,0,0,1,202,1.010,66186,66438,67198
66,0x003ff90b,-0.869629,0,0,1,203,1.015,67198,67450,68213
67,0x003ff7ba,-1.034180,0,0,1,203,1.015,68214,68466,69228
68,0x003ff617,-1.238770,0,0,1,203,1.015,69230,69482,70243
69,0x003ff633,-1.225098,0,0,1,202,1.010,70246,70498,71258
