sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us,input_first_fire_time_ns,input_last_fire_time_ns,cnn_result_time_ns
0,0x003fed47,-2.340332,0,0,1,202,1.010,234,486,1243
1,0x003fec62,-2.452148,0,0,1,201,1.005,1246,1498,2253
2,0x003fec7f,-2.437988,0,0,1,202,1.010,2254,2506,3263
3,0x003fed1f,-2.359863,0,0,1,201,1.005,3266,3518,4273
4,0x003fecae,-2.415039,0,0,1,202,1.010,4274,4526,5283
5,0x003fec43,-2.467285,0,0,1,202,1.010,5286,5538,6298
6,0x003fed42,-2.342773,0,0,1,203,1.015,6298,6550,7313
7,0x003fed0d,-2.368652,0,0,1,203,1.015,7314,7566,8328
8,0x003fed69,-2.323730,0,0,1,203,1.015,8330,8582,9343
9,0x003fed13,-2.365723,0,0,1,202,1.010,9346,9598,10358
10,0x003fecf6,-2.379883,0,0,1,203,1.015,10358,10610,11373
11,0x003fecfc,-2.376953,0,0,1,203,1.015,11374,11626,12388
12,0x003fed6a,-2.323242,0,0,1,203,1.015,12390,12642,13403
13,0x003fed74,-2.318359,0,0,1,202,1.010,13406,13658,14418
14,0x003fed4b,-2.338379,0,0,1,203,1.015,14418,14670,15433
15,0x003fed53,-2.334473,0,0,1,203,1.015,15434,15686,16448
16,0x003fed80,-2.312500,0,0,1,203,1.015,16450,16702,17463
17,0x003feccd,-2.399902,0,0,1,202,1.010,17466,17718,18478
18,0x003fed7c,-2.314453,0,0,1,203,1.015,18478,18730,19493
19,0x003fedc3,-2.279785,0,0,1,203,1.015,19494,19746,20508
20,0x003fee09,-2.245605,0,0,1,203,1.015,20510,20762,21523
21,0x003fedb6,-2.286133,0,0,1,202,1.010,21526,21778,22538
22,0x003fed1a,-2.362305,0,0,1,203,1.015,22538,22790,23553
23,0x003fec8b,-2.432129,0,0,1,203,1.015,23554,23806,24568
24,0x003fed99,-2.300293,0,0,1,203,1.015,24570,24822,25583
25,0x003fed72,-2.319336,0,0,1,202,1.010,25586,25838,26598
