sample_id,hex_out,float_out,label,prediction,correct,latency_cycles_cnn,latency_us
0,0x003ffa57,-0.707520,0,0,1,220,1.100
1,0x003fdde6,-4.262695,0,0,1,222,1.110
2,0x003fe4be,-3.407227,0,0,1,222,1.110
3,0x003fe87d,-2.938965,0,0,1,222,1.110
4,0x003fe6ee,-3.133789,0,0,1,223,1.115
5,0x003feca0,-2.421875,0,0,1,224,1.120
6,0x003febcd,-2.524902,0,0,1,224,1.120
7,0x003fe449,-3.464355,0,0,1,224,1.120
8,0x003fe2a3,-3.670410,0,0,1,224,1.120
9,0x00002593,4.696777,1,1,1,225,1.125
10,0x003febe3,-2.514160,0,0,1,225,1.125
11,0x003ff183,-1.811035,0,0,1,222,1.110
12,0x003feddc,-2.267578,0,0,1,222,1.110
13,0x003fea91,-2.679199,0,0,1,223,1.115
14,0x003fed35,-2.349121,0,0,1,223,1.115
15,0x003feea9,-2.167480,0,0,1,223,1.115
